Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Camera_pea_abundances_eq_med_norm_neored,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5654227,"Phospholipase C-mediated cascade; FGFR3",1,18,0.0012377939760693166,0.1628411497379821,0.6342336334010578,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654148;R-HSA-5654224;R-HSA-5654222"
R-HSA-5654228,"Phospholipase C-mediated cascade; FGFR4",1,19,0.0013065603080731675,0.1628411497379821,0.6342336334010578,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654151;R-HSA-5654163;R-HSA-5654169"
R-HSA-5654219,"Phospholipase C-mediated cascade: FGFR1",1,22,0.0015128593040847202,0.1628411497379821,0.6342336334010578,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654167;R-HSA-5654165;R-HSA-5654149"
R-HSA-5654221,"Phospholipase C-mediated cascade; FGFR2",1,25,0.0017191583000962728,0.1628411497379821,0.6342336334010578,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654147;R-HSA-5654159;R-HSA-5654157"
R-HSA-5654704,"SHC-mediated cascade:FGFR3",1,26,0.0017879246321001237,0.1628411497379821,0.6342336334010578,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654646;R-HSA-5654647;R-HSA-5654625;R-HSA-5654634"
R-HSA-5654706,"FRS-mediated FGFR3 signaling",1,27,0.0018566909641039746,0.1628411497379821,0.6342336334010578,9,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654631;R-HSA-5654628;R-HSA-8941628;R-HSA-5654416;R-HSA-5654623;R-HSA-5654413;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409"
R-HSA-5654719,"SHC-mediated cascade:FGFR4",1,27,0.0018566909641039746,0.1628411497379821,0.6342336334010578,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654423;R-HSA-5654428;R-HSA-5654426;R-HSA-5654425"
R-HSA-5654712,"FRS-mediated FGFR4 signaling",1,28,0.0019254572961078255,0.1628411497379821,0.6342336334010578,9,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654422;R-HSA-5654663;R-HSA-5654658;R-HSA-5654418;R-HSA-8941613;R-HSA-5654655;R-HSA-5654653;R-HSA-5654651;R-HSA-5654664"
R-HSA-5654688,"SHC-mediated cascade:FGFR1",1,30,0.0020629899601155273,0.1628411497379821,0.6342336334010578,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654582;R-HSA-5654597;R-HSA-5654573;R-HSA-5654600"
R-HSA-5654693,"FRS-mediated FGFR1 signaling",1,31,0.0021317562921193784,0.1628411497379821,0.6342336334010578,9,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654578;R-HSA-5654575;R-HSA-5654586;R-HSA-5654587;R-HSA-5654571;R-HSA-5654584;R-HSA-5654392;R-HSA-8941623;R-HSA-5654569"
R-HSA-5654699,"SHC-mediated cascade:FGFR2",1,33,0.0022692889561270802,0.1628411497379821,0.6342336334010578,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402"
R-HSA-5654700,"FRS-mediated FGFR2 signaling",1,34,0.002338055288130931,0.1628411497379821,0.6342336334010578,9,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654615;R-HSA-5654608;R-HSA-5654607;R-HSA-5654399;R-HSA-8941618;R-HSA-5654605;R-HSA-5654397;R-HSA-5654618;R-HSA-5654603"
R-HSA-5654687,"Downstream signaling of activated FGFR1",1,42,0.0028881859441617385,0.1628411497379821,0.6342336334010578,23,24,0.0017756732761171944,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654582;R-HSA-5654167;R-HSA-5654165;R-HSA-5654578;R-HSA-5654591;R-HSA-5654586;R-HSA-5654587;R-HSA-5654584;R-HSA-5654392;R-HSA-5654692;R-HSA-5654596;R-HSA-5654149;R-HSA-5654597;R-HSA-5654594;R-HSA-5654690;R-HSA-5656064;R-HSA-5654592;R-HSA-5654575;R-HSA-5654573;R-HSA-5654571;R-HSA-5654600;R-HSA-8941623;R-HSA-5654569"
R-HSA-5654708,"Downstream signaling of activated FGFR3",1,35,0.002406821620134782,0.1628411497379821,0.6342336334010578,22,23,0.0017016868896123113,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654646;R-HSA-5654647;R-HSA-5654709;R-HSA-5654643;R-HSA-5654224;R-HSA-5654640;R-HSA-5654416;R-HSA-5654641;R-HSA-5654705;R-HSA-5654623;R-HSA-5654631;R-HSA-5654148;R-HSA-5654628;R-HSA-8941628;R-HSA-5654625;R-HSA-5654222;R-HSA-5654637;R-HSA-5654413;R-HSA-5654634;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409"
R-HSA-5654716,"Downstream signaling of activated FGFR4",1,36,0.002475587952138633,0.1628411497379821,0.6342336334010578,22,23,0.0017016868896123113,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654422;R-HSA-5654423;R-HSA-5654418;R-HSA-5654163;R-HSA-8941613;R-HSA-5654655;R-HSA-5654428;R-HSA-5654717;R-HSA-5654653;R-HSA-5654714;R-HSA-5654426;R-HSA-5654651;R-HSA-5654169;R-HSA-5654425;R-HSA-5654662;R-HSA-5654151;R-HSA-5654663;R-HSA-5654658;R-HSA-5654659;R-HSA-5654669;R-HSA-5654667;R-HSA-5654664"
R-HSA-5654696,"Downstream signaling of activated FGFR2",1,42,0.0028881859441617385,0.1628411497379821,0.6342336334010578,22,23,0.0017016868896123113,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654614;R-HSA-5654615;R-HSA-5654612;R-HSA-5654608;R-HSA-5654622;R-HSA-5654399;R-HSA-5654620;R-HSA-5654397;R-HSA-5654618;R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402;R-HSA-5654147;R-HSA-5654159;R-HSA-5654607;R-HSA-8941618;R-HSA-5654157;R-HSA-5654701;R-HSA-5654605;R-HSA-5654603;R-HSA-5654697"
R-HSA-5654710,"PI-3K cascade:FGFR3",1,24,0.001650391968092422,0.1628411497379821,0.6342336334010578,6,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654641;R-HSA-5654705;R-HSA-5654637"
R-HSA-5654720,"PI-3K cascade:FGFR4",1,25,0.0017191583000962728,0.1628411497379821,0.6342336334010578,6,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654662;R-HSA-5654659;R-HSA-5654669;R-HSA-5654717;R-HSA-5654714;R-HSA-5654667"
R-HSA-5654689,"PI-3K cascade:FGFR1",1,28,0.0019254572961078255,0.1628411497379821,0.6342336334010578,6,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654692;R-HSA-5654596;R-HSA-5654594;R-HSA-5654690;R-HSA-5654592;R-HSA-5654591"
R-HSA-5654695,"PI-3K cascade:FGFR2",1,31,0.0021317562921193784,0.1628411497379821,0.6342336334010578,6,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654614;R-HSA-5654612;R-HSA-5654622;R-HSA-5654620;R-HSA-5654701;R-HSA-5654697"
R-HSA-8853338,"Signaling by FGFR3 point mutants in cancer",1,33,0.0022692889561270802,0.1628411497379821,0.6342336334010578,13,19,0.0014057413435927789,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5655285;R-HSA-5655315;R-HSA-5655262;R-HSA-5655295;R-HSA-5655289;R-HSA-5655270;R-HSA-2077420;R-HSA-2012074;R-HSA-2012073;R-HSA-5655247;R-HSA-5655244;R-HSA-5655277;R-HSA-5655243"
R-HSA-190373,"FGFR1c ligand binding and activation",1,15,0.0010314949800577637,0.1628411497379821,0.6342336334010578,2,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-190256;R-HSA-190429"
R-HSA-190239,"FGFR3 ligand binding and activation",1,19,0.0013065603080731675,0.1628411497379821,0.6342336334010578,4,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-8851619;R-HSA-190388;R-HSA-190261;R-HSA-8851632"
R-HSA-190242,"FGFR1 ligand binding and activation",1,21,0.0014440929720808693,0.1628411497379821,0.6342336334010578,4,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-190256;R-HSA-191062;R-HSA-190268;R-HSA-190429"
R-HSA-5658623,"FGFRL1 modulation of FGFR1 signaling",1,14,9.627286480539128E-4,0.1628411497379821,0.6342336334010578,1,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654511"
R-HSA-1839122,"Signaling by activated point mutants of FGFR1",1,15,0.0010314949800577637,0.1628411497379821,0.6342336334010578,2,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-2023455;R-HSA-2023451"
R-HSA-190322,"FGFR4 ligand binding and activation",1,17,0.0011690276440654655,0.1628411497379821,0.6342336334010578,2,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-190326;R-HSA-190265"
R-HSA-5655332,"Signaling by FGFR3 in disease",1,33,0.0022692889561270802,0.1628411497379821,0.6342336334010578,13,28,0.0020716188221367266,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5655285;R-HSA-5655315;R-HSA-5655262;R-HSA-5655295;R-HSA-5655289;R-HSA-5655270;R-HSA-2077420;R-HSA-2012074;R-HSA-2012073;R-HSA-5655247;R-HSA-5655244;R-HSA-5655277;R-HSA-5655243"
R-HSA-5655253,"Signaling by FGFR2 in disease",1,58,0.003988447256223353,0.1628411497379821,0.6342336334010578,13,28,0.0020716188221367266,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-5654748;R-HSA-5655323;R-HSA-5655320;R-HSA-2077424;R-HSA-2033486;R-HSA-5655268;R-HSA-5655301;R-HSA-5655233;R-HSA-5655343;R-HSA-5655245;R-HSA-5655339;R-HSA-5655241;R-HSA-2033472"
R-HSA-190241,"FGFR2 ligand binding and activation",1,26,0.0017879246321001237,0.1628411497379821,0.6342336334010578,2,5,3.699319325244155E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-190258;R-HSA-190413"
R-HSA-1226099,"Signaling by FGFR in disease",1,82,0.005638839224315775,0.1628411497379821,0.6342336334010578,38,106,0.007842556969517609,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-2023455;R-HSA-2023451;R-HSA-5655315;R-HSA-5655326;R-HSA-5655262;R-HSA-5655263;R-HSA-5654748;R-HSA-5655323;R-HSA-5655320;R-HSA-2033486;R-HSA-5655301;R-HSA-5655233;R-HSA-5655247;R-HSA-5655244;R-HSA-5655245;R-HSA-5655243;R-HSA-5655240;R-HSA-5655241;R-HSA-2033472;R-HSA-1839100;R-HSA-5655285;R-HSA-1839098;R-HSA-5655295;R-HSA-1839094;R-HSA-5655290;R-HSA-5655289;R-HSA-2077424;R-HSA-5655270;R-HSA-5655268;R-HSA-5655269;R-HSA-2077420;R-HSA-2012074;R-HSA-5655266;R-HSA-2012073;R-HSA-5655278;R-HSA-5655343;R-HSA-5655277;R-HSA-5655339"
R-HSA-5655302,"Signaling by FGFR1 in disease",1,49,0.003369550268188695,0.1628411497379821,0.6342336334010578,12,35,0.0025895235276709085,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-1839100;R-HSA-2023455;R-HSA-5655269;R-HSA-5655266;R-HSA-2023451;R-HSA-1839098;R-HSA-5655326;R-HSA-5655278;R-HSA-5655263;R-HSA-1839094;R-HSA-5655290;R-HSA-5655240"
R-HSA-1839130,"Signaling by activated point mutants of FGFR3",1,17,0.0011690276440654655,0.1628411497379821,0.6342336334010578,2,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-2012074;R-HSA-2012073"
R-HSA-2033514,"FGFR3 mutant receptor activation",1,18,0.0012377939760693166,0.1628411497379821,0.6342336334010578,3,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-2077420;R-HSA-2012074;R-HSA-2012073"
R-HSA-2033519,"Activated point mutants of FGFR2",1,23,0.001581625636088571,0.1628411497379821,0.6342336334010578,3,10,7.39863865048831E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-2033486;R-HSA-2077424;R-HSA-2033472"
R-HSA-1839126,"FGFR2 mutant receptor activation",1,43,0.002956952276165589,0.1628411497379821,0.6342336334010578,3,18,0.0013317549570878958,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-2033486;R-HSA-2077424;R-HSA-2033472"
R-HSA-109704,"PI3K Cascade",1,58,0.003988447256223353,0.1628411497379821,0.6342336334010578,1,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-109699"
R-HSA-112399,"IRS-mediated signalling",1,65,0.004469811580250309,0.1628411497379821,0.6342336334010578,1,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-109699"
R-HSA-2428928,"IRS-related events triggered by IGF1R",1,69,0.004744876908265713,0.1628411497379821,0.6342336334010578,1,12,8.878366380585972E-4,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-109699"
R-HSA-1839124,"FGFR1 mutant receptor activation",1,39,0.0026818869481501856,0.1628411497379821,0.6342336334010578,2,25,0.0018496596626220775,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-2023455;R-HSA-2023451"
R-HSA-2428924,"IGF1R signaling cascade",1,72,0.004951175904277266,0.1628411497379821,0.6342336334010578,1,17,0.0012577685705830127,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-109699"
R-HSA-2404192,"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",1,73,0.0050199422362811165,0.1628411497379821,0.6342336334010578,1,19,0.0014057413435927789,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-109699"
R-HSA-74751,"Insulin receptor signalling cascade",1,72,0.004951175904277266,0.1628411497379821,0.6342336334010578,1,25,0.0018496596626220775,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-109699"
R-HSA-74752,"Signaling by Insulin receptor",1,97,0.006670334204373539,0.1628411497379821,0.6342336334010578,1,34,0.0025155371411660255,-1.0,9606,Homo sapiens,"Q9GZV9","","R-HSA-109699"
R-HSA-419037,"NCAM1 interactions",1,44,0.0030257186081694403,0.16357931052472066,0.6342336334010578,10,10,7.39863865048831E-4,1.0,9606,Homo sapiens,"P13591","","R-HSA-375157;R-HSA-422454;R-HSA-525833;R-HSA-375155;R-HSA-375154;R-HSA-375149;R-HSA-375148;R-HSA-375151;R-HSA-375160;R-HSA-375144"
R-HSA-8866427,"VLDLR internalisation and degradation",1,12,8.25195984046211E-4,0.1635943681080182,0.6342336334010578,3,4,2.959455460195324E-4,1.0,9606,Homo sapiens,"Q8NBP7","","R-HSA-8855111;R-HSA-8855131;R-HSA-8855130"
R-HSA-381340,"Transcriptional regulation of white adipocyte differentiation",4,109,0.00749553018841975,0.16392287604916655,0.6342336334010578,5,18,0.0013317549570878958,-1.0,9606,Homo sapiens,"P06858;Q9BY76;P15090;P41159","","R-HSA-560473;R-HSA-560510;R-HSA-381309;R-HSA-1183003;R-HSA-560498"
R-HSA-8863795,"Downregulation of ERBB2 signaling",3,36,0.002475587952138633,0.1673757786920798,0.6342336334010578,7,14,0.0010358094110683633,-1.0,9606,Homo sapiens,"P40818;P00533;Q99075","","R-HSA-1358791;R-HSA-1963563;R-HSA-1358797;R-HSA-8864125;R-HSA-8863804;R-HSA-8864105;R-HSA-1358795"
R-HSA-5607764,"CLEC7A (Dectin-1) signaling",2,120,0.00825195984046211,0.16856382043866197,0.6342336334010578,4,45,0.0033293873927197396,-1.0,9606,Homo sapiens,"Q9Y6K9;P12931","","R-HSA-5607750;R-HSA-202534;R-HSA-5607742;R-HSA-202541"
R-HSA-1630316,"Glycosaminoglycan metabolism",12,182,0.012515472424700866,0.16965516449068246,0.6342336334010578,56,88,0.006510802012429713,1.0,9606,Homo sapiens,"P16112;Q99983;Q9Y5Y7;P15291;P51888;P13611;P07585;P35475;P98160;P31431;O43505;P08236","","R-HSA-2046239;R-HSA-1971487;R-HSA-1793176;R-HSA-1971482;R-HSA-1971483;R-HSA-2024084;R-HSA-2046222;R-HSA-2162226;R-HSA-2162227;R-HSA-2022919;R-HSA-2076419;R-HSA-1678854;R-HSA-1889981;R-HSA-9638064;R-HSA-1667005;R-HSA-1889978;R-HSA-2046265;R-HSA-2090037;R-HSA-2022065;R-HSA-9632034;R-HSA-2022063;R-HSA-2024108;R-HSA-2022061;R-HSA-9632033;R-HSA-2160915;R-HSA-2022056;R-HSA-1793186;R-HSA-2024100;R-HSA-2022052;R-HSA-1971491;R-HSA-1889955;R-HSA-2076383;R-HSA-2046175;R-HSA-2076508;R-HSA-2046298;R-HSA-2076371;R-HSA-2065233;R-HSA-2022860;R-HSA-2046285;R-HSA-2160884;R-HSA-2022856;R-HSA-1793217;R-HSA-2076611;R-HSA-2160892;R-HSA-2022851;R-HSA-2022911;R-HSA-2025724;R-HSA-2018682;R-HSA-1678716;R-HSA-2025723;R-HSA-1878002;R-HSA-2076392;R-HSA-2022887;R-HSA-2046180;R-HSA-2018659;R-HSA-1678694"
R-HSA-5083627,"Defective LARGE causes MDDGA6 and MDDGB6",1,4,2.7506532801540364E-4,0.16994568635594834,0.6342336334010578,1,1,7.39863865048831E-5,1.0,9606,Homo sapiens,"O43505","","R-HSA-6785668"
R-HSA-1247673,"Erythrocytes take up oxygen and release carbon dioxide",3,16,0.0011002613120616146,0.1704413490746636,0.6342336334010578,2,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"P22748;P00915;P00918","","R-HSA-1237059;R-HSA-1475436"
R-HSA-1480926,"O2/CO2 exchange in erythrocytes",3,23,0.001581625636088571,0.1704413490746636,0.6342336334010578,4,13,9.618230245634804E-4,-1.0,9606,Homo sapiens,"P22748;P00915;P00918","","R-HSA-1237059;R-HSA-1237047;R-HSA-1475436;R-HSA-1475435"
R-HSA-1237044,"Erythrocytes take up carbon dioxide and release oxygen",3,23,0.001581625636088571,0.1704413490746636,0.6342336334010578,2,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"P22748;P00915;P00918","","R-HSA-1237047;R-HSA-1475435"
R-HSA-5689880,"Ub-specific processing proteases",2,206,0.014165864392793288,0.1746153223790336,0.6342336334010578,3,40,0.002959455460195324,-1.0,9606,Homo sapiens,"P40818;Q9Y6K9","","R-HSA-5690196;R-HSA-6782628;R-HSA-5696627"
R-HSA-5688426,"Deubiquitination",2,289,0.019873469949112915,0.1746153223790336,0.6342336334010578,4,77,0.005696951760875999,-1.0,9606,Homo sapiens,"P40818;Q9Y6K9","","R-HSA-5690196;R-HSA-688136;R-HSA-6782628;R-HSA-5696627"
R-HSA-447115,"Interleukin-12 family signaling",6,96,0.006601567872369688,0.1746732146509656,0.6342336334010578,20,114,0.008434448061556674,-1.0,9606,Homo sapiens,"Q8NEV9;P00915;P14174;P07237;P04179;P00441","","R-HSA-8950504;R-HSA-8950441;R-HSA-8950537;R-HSA-8950731;R-HSA-448421;R-HSA-8950732;R-HSA-9617941;R-HSA-8950113;R-HSA-8950210;R-HSA-8950340;R-HSA-448427;R-HSA-8950342;R-HSA-8950183;R-HSA-8950456;R-HSA-8950398;R-HSA-8950623;R-HSA-8950674;R-HSA-8950771;R-HSA-8950485;R-HSA-8950518"
R-HSA-73930,"Abasic sugar-phosphate removal via the single-nucleotide replacement pathway",1,3,2.0629899601155274E-4,0.17492461028112768,0.6342336334010578,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P27695","","R-HSA-110375;R-HSA-110360"
R-HSA-110357,"Displacement of DNA glycosylase by APEX1",1,10,6.876633200385092E-4,0.17492461028112768,0.6342336334010578,8,8,5.918910920390648E-4,-1.0,9606,Homo sapiens,"P27695","","R-HSA-110353;R-HSA-110352;R-HSA-110355;R-HSA-110354;R-HSA-110356;R-HSA-110349;R-HSA-110351;R-HSA-110350"
R-HSA-5651801,"PCNA-Dependent Long Patch Base Excision Repair",1,23,0.001581625636088571,0.17492461028112768,0.6342336334010578,6,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"P27695","","R-HSA-110368;R-HSA-110371;R-HSA-5651809;R-HSA-110363;R-HSA-5651805;R-HSA-110364"
R-HSA-110381,"Resolution of AP sites via the single-nucleotide replacement pathway",1,7,4.813643240269564E-4,0.17492461028112768,0.6342336334010578,2,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"P27695","","R-HSA-110375;R-HSA-110360"
R-HSA-1280215,"Cytokine Signaling in Immune system",60,1092,0.0750928345482052,0.17676949110756127,0.6342336334010578,193,708,0.05238236164545724,-1.0,9606,Homo sapiens,"P01241;Q14005;Q8TDQ0;P06734;O95998;P80188;P36941;P13501;P13500;O00300;P46109;P13591;Q9Y6K9;Q9Y275;P08887;P29965;P24158;P07237;P01033;Q15109;Q96F46;O14836;Q9HB29;P09341;P14174;P01589;P08253;P08254;P42574;P05067;Q01638;P04179;Q92956;P05107;P29350;P14778;Q9Y6Q6;P14780;Q8NEV9;P05231;P01730;P00441;P20333;P24394;P05556;Q14116;P10147;P19320;O75791;P18510;P19438;P00915;O00182;Q99650;P05362;P09601;P27930","","R-HSA-450054;R-HSA-452100;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-1112602;R-HSA-1112604;R-HSA-1369114;R-HSA-1369115;R-HSA-1671691;R-HSA-5668417;R-HSA-1168393;R-HSA-1168394;R-HSA-452122;R-HSA-913424;R-HSA-1671687;R-HSA-8950441;R-HSA-1362485;R-HSA-449058;R-HSA-5668467;R-HSA-6786114;R-HSA-6783552;R-HSA-1031716;R-HSA-6786124;R-HSA-1168445;R-HSA-5668454;R-HSA-8937656;R-HSA-8950456;R-HSA-449077;R-HSA-1168423;R-HSA-449073;R-HSA-449087;R-HSA-8937654;R-HSA-6783524;R-HSA-6786095;R-HSA-448591;R-HSA-6786092;R-HSA-976991;R-HSA-6786101;R-HSA-450133;R-HSA-6786096;R-HSA-6786110;R-HSA-1168456;R-HSA-1168459;R-HSA-8950485;R-HSA-448603;R-HSA-1364043;R-HSA-8950504;R-HSA-5676599;R-HSA-5668404;R-HSA-1112690;R-HSA-5676596;R-HSA-5676597;R-HSA-6786050;R-HSA-5676595;R-HSA-5684275;R-HSA-5676592;R-HSA-5676593;R-HSA-5668414;R-HSA-1067640;R-HSA-5676607;R-HSA-6786058;R-HSA-1112703;R-HSA-6785047;R-HSA-6786070;R-HSA-6788628;R-HSA-448629;R-HSA-9008894;R-HSA-914036;R-HSA-5676591;R-HSA-1170539;R-HSA-5676589;R-HSA-5684267;R-HSA-8950518;R-HSA-6786072;R-HSA-6793958;R-HSA-912527;R-HSA-1067667;R-HSA-1112727;R-HSA-9617941;R-HSA-8848395;R-HSA-1067676;R-HSA-8848392;R-HSA-448660;R-HSA-1067651;R-HSA-1112708;R-HSA-5609665;R-HSA-1067659;R-HSA-6788346;R-HSA-1112755;R-HSA-6784204;R-HSA-446634;R-HSA-5340385;R-HSA-446130;R-HSA-1067688;R-HSA-448703;R-HSA-446648;R-HSA-5669097;R-HSA-6784160;R-HSA-1675473;R-HSA-8950340;R-HSA-8950342;R-HSA-168140;R-HSA-5668481;R-HSA-446684;R-HSA-5668534;R-HSA-446694;R-HSA-446692;R-HSA-982765;R-HSA-168166;R-HSA-446701;R-HSA-199404;R-HSA-877308;R-HSA-982778;R-HSA-447219;R-HSA-8950398;R-HSA-168184;R-HSA-5669035;R-HSA-982768;R-HSA-447246;R-HSA-6785898;R-HSA-982810;R-HSA-982807;R-HSA-8950674;R-HSA-9681294;R-HSA-450337;R-HSA-1169210;R-HSA-450346;R-HSA-8950183;R-HSA-1169188;R-HSA-1169192;R-HSA-445757;R-HSA-8848316;R-HSA-8848314;R-HSA-445752;R-HSA-445753;R-HSA-9008587;R-HSA-8950731;R-HSA-8950732;R-HSA-8950210;R-HSA-8940998;R-HSA-508247;R-HSA-912734;R-HSA-451942;R-HSA-919404;R-HSA-1168767;R-HSA-8848370;R-HSA-6785821;R-HSA-8950771;R-HSA-508282;R-HSA-6788582;R-HSA-8950537;R-HSA-508292;R-HSA-5678544;R-HSA-6789615;R-HSA-446862;R-HSA-6797293;R-HSA-1370500;R-HSA-1168768;R-HSA-446868;R-HSA-909726;R-HSA-9007901;R-HSA-912790;R-HSA-1370505;R-HSA-448421;R-HSA-909738;R-HSA-446894;R-HSA-448427;R-HSA-1112510;R-HSA-873918;R-HSA-6797268;R-HSA-1168809;R-HSA-6788571;R-HSA-1168813;R-HSA-997314;R-HSA-1112514;R-HSA-913374;R-HSA-9706304;R-HSA-1168839;R-HSA-8950623;R-HSA-6790022;R-HSA-5668789;R-HSA-1112565;R-HSA-8950113;R-HSA-1369080;R-HSA-450027;R-HSA-1168894;R-HSA-451561;R-HSA-9681763;R-HSA-453111;R-HSA-6789524;R-HSA-453104;R-HSA-452091"
R-HSA-109581,"Apoptosis",5,192,0.013203135744739376,0.17867019384506486,0.6342336334010578,45,141,0.010432080497188518,-1.0,9606,Homo sapiens,"O00220;P12830;O14763;P42574;P25445","","R-HSA-351877;R-HSA-201603;R-HSA-202947;R-HSA-211651;R-HSA-351876;R-HSA-114306;R-HSA-3465459;R-HSA-201611;R-HSA-201608;R-HSA-212552;R-HSA-373705;R-HSA-114252;R-HSA-211219;R-HSA-202960;R-HSA-202967;R-HSA-201622;R-HSA-202966;R-HSA-351901;R-HSA-418846;R-HSA-73945;R-HSA-202969;R-HSA-418845;R-HSA-3465448;R-HSA-201631;R-HSA-201630;R-HSA-201629;R-HSA-201628;R-HSA-418852;R-HSA-201639;R-HSA-141156;R-HSA-202917;R-HSA-201636;R-HSA-201640;R-HSA-3371359;R-HSA-351913;R-HSA-351849;R-HSA-211186;R-HSA-139952;R-HSA-114419;R-HSA-9627104;R-HSA-211190;R-HSA-201595;R-HSA-202939;R-HSA-351871;R-HSA-350651"
R-HSA-9616222,"Transcriptional regulation of granulopoiesis",1,71,0.004882409572273415,0.17882353470309856,0.6342336334010578,1,27,0.0019976324356318436,1.0,9606,Homo sapiens,"P08887","","R-HSA-9634430"
R-HSA-75158,"TRAIL  signaling",2,8,5.501306560308073E-4,0.1795917763095504,0.6342336334010578,6,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"O00220;O14763","","R-HSA-141139;R-HSA-75187;R-HSA-141316;R-HSA-75238;R-HSA-5635741;R-HSA-75146"
