Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Camera_ms_abundances_eq_med_norm_neored,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1834949,"Cytosolic sensors of pathogen-associated DNA ",2,77,0.00529500756429652,0.020616359384032956,0.37029075768772934,8,49,0.003625332938739272,1.0,9606,Homo sapiens,"P62987;P35222","","R-HSA-3134904;R-HSA-3134901;R-HSA-3249386;R-HSA-3134804;R-HSA-3134883;R-HSA-8948709;R-HSA-3134946;R-HSA-3134914"
R-HSA-975956,"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",11,101,0.0069453995323889425,0.02125942576840888,0.37029075768772934,1,1,7.39863865048831E-5,1.0,9606,Homo sapiens,"P84098;P15880;Q02543;P46782;P63220;P62987;P36578;P15170;P61247;P62851;P46779","","R-HSA-927789"
R-HSA-927802,"Nonsense-Mediated Decay (NMD)",11,124,0.008527025168477514,0.02125942576840888,0.37029075768772934,5,6,4.439183190292986E-4,1.0,9606,Homo sapiens,"P84098;P15880;Q02543;P46782;P63220;P62987;P36578;P15170;P61247;P62851;P46779","","R-HSA-927836;R-HSA-927789;R-HSA-927832;R-HSA-927813;R-HSA-927889"
R-HSA-975957,"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",11,124,0.008527025168477514,0.02125942576840888,0.37029075768772934,4,5,3.699319325244155E-4,1.0,9606,Homo sapiens,"P84098;P15880;Q02543;P46782;P63220;P62987;P36578;P15170;P61247;P62851;P46779","","R-HSA-927836;R-HSA-927832;R-HSA-927813;R-HSA-927889"
R-HSA-5620912,"Anchoring of the basal body to the plasma membrane",4,99,0.00680786686838124,0.022013025259219745,0.3786240344585796,9,9,6.658774785439479E-4,-1.0,9606,Homo sapiens,"P07900;P62491;P61981;P62258","","R-HSA-5626228;R-HSA-5626227;R-HSA-5638014;R-HSA-5626220;R-HSA-5626223;R-HSA-5626681;R-HSA-5617816;R-HSA-5626699;R-HSA-5638009"
R-HSA-68877,"Mitotic Prometaphase",5,211,0.014509696052812543,0.023393739033724836,0.3974047519803133,10,20,0.001479727730097662,-1.0,9606,Homo sapiens,"P07900;Q9H4B7;P61981;Q9Y266;P62258","","R-HSA-9648114;R-HSA-9648017;R-HSA-2484822;R-HSA-375302;R-HSA-156682;R-HSA-380316;R-HSA-380508;R-HSA-1638803;R-HSA-2468287;R-HSA-1638821"
R-HSA-446353,"Cell-extracellular matrix interactions",8,19,0.0013065603080731675,0.025032400559430523,0.41730952980076946,6,10,7.39863865048831E-4,-1.0,9606,Homo sapiens,"Q15404;P05556;P50552;P60709;P12814;P48059;Q13418;P21333","","R-HSA-430311;R-HSA-446391;R-HSA-430308;R-HSA-432897;R-HSA-446364;R-HSA-430347"
R-HSA-111465,"Apoptotic cleavage of cellular proteins",9,38,0.002613120616146335,0.025172013788854555,0.41730952980076946,11,38,0.0028114826871855577,1.0,9606,Homo sapiens,"P51572;Q15149;Q9UDY2;P20700;P08670;P12830;P02545;P35222;Q9UJU6","","R-HSA-351894;R-HSA-264871;R-HSA-202966;R-HSA-264865;R-HSA-201637;R-HSA-202939;R-HSA-202969;R-HSA-350319;R-HSA-351871;R-HSA-350318;R-HSA-201628"
R-HSA-76009,"Platelet Aggregation (Plug Formation)",14,53,0.0036446155962040986,0.02613111647624047,0.4242430919702394,25,27,0.0019976324356318436,-1.0,9606,Homo sapiens,"P02452;P07359;P02671;P05106;P08514;P62993;P00734;P08123;P02679;P61224;P04275;P02675;P02751;Q9Y490","","R-HSA-443910;R-HSA-443905;R-HSA-429441;R-HSA-354124;R-HSA-354060;R-HSA-939265;R-HSA-372693;R-HSA-354066;R-HSA-354077;R-HSA-372697;R-HSA-354073;R-HSA-429529;R-HSA-354149;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-432110;R-HSA-377644;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-354097;R-HSA-354173"
R-HSA-8940973,"RUNX2 regulates osteoblast differentiation",1,34,0.002338055288130931,0.026515193248139963,0.4242430919702394,1,24,0.0017756732761171944,1.0,9606,Homo sapiens,"P02452","","R-HSA-8985644"
R-HSA-8941326,"RUNX2 regulates bone development",1,43,0.002956952276165589,0.026515193248139963,0.4242430919702394,1,32,0.0023675643681562593,1.0,9606,Homo sapiens,"P02452","","R-HSA-8985644"
R-HSA-1483257,"Phospholipid metabolism",4,315,0.021661394581213037,0.02699981051041699,0.42703148577395145,8,218,0.016129032258064516,1.0,9606,Homo sapiens,"Q6P4A8;P06276;O75131;P61106","","R-HSA-8871366;R-HSA-372519;R-HSA-1482884;R-HSA-1482612;R-HSA-1482685;R-HSA-1482856;R-HSA-5333678;R-HSA-1482825"
R-HSA-9672393,"Defective F8 binding to von Willebrand factor",2,2,1.3753266400770182E-4,0.02765423764752675,0.42996377550015846,1,1,7.39863865048831E-5,-1.0,9606,Homo sapiens,"P04275;P00451","","R-HSA-9665809"
R-HSA-5617833,"Cilium Assembly",7,208,0.01430339705680099,0.027810156990925948,0.42996377550015846,25,50,0.003699319325244155,-1.0,9606,Homo sapiens,"P07900;P50991;P62491;Q9H4B7;P61981;P49368;P62258","","R-HSA-5625424;R-HSA-5625426;R-HSA-5623519;R-HSA-5623513;R-HSA-5617816;R-HSA-5618328;R-HSA-5618331;R-HSA-5625421;R-HSA-5625416;R-HSA-5626699;R-HSA-5624949;R-HSA-5626228;R-HSA-5626227;R-HSA-5638014;R-HSA-5624125;R-HSA-5620921;R-HSA-5626681;R-HSA-5624952;R-HSA-5638009;R-HSA-5623525;R-HSA-5623524;R-HSA-5623527;R-HSA-5623521;R-HSA-5626220;R-HSA-5626223"
R-HSA-2142712,"Synthesis of 12-eicosatetraenoic acid derivatives",2,19,0.0013065603080731675,0.02902707185516698,0.4437916763634418,2,6,4.439183190292986E-4,1.0,9606,Homo sapiens,"O75342;Q9BYJ1","","R-HSA-8942208;R-HSA-2161950"
R-HSA-2559583,"Cellular Senescence",9,200,0.013753266400770183,0.02963920309030912,0.44437734446076615,13,90,0.006658774785439479,1.0,9606,Homo sapiens,"P07305;Q16270;P20700;Q16777;P62805;Q16695;P62987;P10599;P16402","","R-HSA-6804879;R-HSA-3225851;R-HSA-3797202;R-HSA-4647594;R-HSA-3788724;R-HSA-3788745;R-HSA-3229089;R-HSA-3222593;R-HSA-3223200;R-HSA-3788748;R-HSA-3785711;R-HSA-3240295;R-HSA-3229102"
R-HSA-1483206,"Glycerophospholipid biosynthesis",3,222,0.015266125704854904,0.02971127593778378,0.44437734446076615,7,133,0.009840189405149453,1.0,9606,Homo sapiens,"Q6P4A8;P06276;O75131","","R-HSA-372519;R-HSA-1482884;R-HSA-1482612;R-HSA-1482685;R-HSA-1482856;R-HSA-5333678;R-HSA-1482825"
R-HSA-9648002,"RAS processing",2,46,0.003163251272177142,0.03063533617944107,0.4456814454037761,3,21,0.0015537141166025452,1.0,9606,Homo sapiens,"P62987;O75608","","R-HSA-9647991;R-HSA-9647994;R-HSA-9653514"
R-HSA-9696273,"RND1 GTPase cycle",2,43,0.002956952276165589,0.030780031229535078,0.4456814454037761,1,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P02786;Q14254","","R-HSA-9696271"
R-HSA-380320,"Recruitment of NuMA to mitotic centrosomes",4,97,0.006670334204373539,0.03119748954121258,0.4456814454037761,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P07900;Q9H4B7;P61981;P62258","","R-HSA-380316;R-HSA-380508"
R-HSA-5659996,"RPIA deficiency: failed conversion of R5P to RU5P",1,2,1.3753266400770182E-4,0.03141795072977201,0.4456814454037761,1,1,7.39863865048831E-5,-1.0,9606,Homo sapiens,"P49247","","R-HSA-5660015"
R-HSA-6791461,"RPIA deficiency: failed conversion of RU5P to R5P",1,2,1.3753266400770182E-4,0.03141795072977201,0.4456814454037761,1,1,7.39863865048831E-5,-1.0,9606,Homo sapiens,"P49247","","R-HSA-5660013"
R-HSA-390522,"Striated Muscle Contraction",6,40,0.0027506532801540367,0.0330184344790499,0.4615005106580011,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9NYL9;P08670;P09493;P67936;P06753;P07951","","R-HSA-390597;R-HSA-390598;R-HSA-390593;R-HSA-390595"
R-HSA-9662001,"Defective factor VIII causes hemophilia A",5,9,6.188969880346583E-4,0.03320388848484165,0.4615005106580011,8,8,5.918910920390648E-4,-1.0,9606,Homo sapiens,"P00734;P00742;P04275;P00740;P00451","","R-HSA-9670049;R-HSA-9665809;R-HSA-9670054;R-HSA-9668148;R-HSA-9666383;R-HSA-9670189;R-HSA-9668365;R-HSA-9661980"
R-HSA-9013418,"RHOBTB2 GTPase cycle",5,24,0.001650391968092422,0.03368749814710343,0.4635399745041432,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"Q9NYL9;P07900;P12814;Q16643;P08238","","R-HSA-9018785;R-HSA-9018787"
R-HSA-9706574,"RHOBTB GTPase Cycle",6,36,0.002475587952138633,0.0344788952839831,0.4697322763441658,3,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"Q9NYL9;P07900;P08670;P12814;Q16643;P08238","","R-HSA-9018778;R-HSA-9018785;R-HSA-9018787"
R-HSA-388844,"Receptor-type tyrosine-protein phosphatases",3,20,0.0013753266400770184,0.034934838695728464,0.4712778239737486,4,6,4.439183190292986E-4,1.0,9606,Homo sapiens,"Q9NPH3;P10586;Q13332","","R-HSA-6798258;R-HSA-6798257;R-HSA-6800380;R-HSA-388824"
R-HSA-140342,"Apoptosis induced DNA fragmentation",2,13,8.939623160500619E-4,0.03604007856898181,0.48146745738756286,2,12,8.878366380585972E-4,1.0,9606,Homo sapiens,"P07305;P16402","","R-HSA-211239;R-HSA-211247"
R-HSA-6798695,"Neutrophil degranulation",104,480,0.03300783936184844,0.03642970053809854,0.4819929609656115,10,10,7.39863865048831E-4,1.0,9606,Homo sapiens,"Q9H0E2;P07900;Q08722;P13473;P36871;O00391;O15511;P61026;P00387;P07355;P27105;Q9UQ80;P13639;O75131;P54108;O60610;P15144;P08174;P36222;P08571;P27918;P68104;P16070;Q01518;O00602;P10619;P13727;P04217;P62937;P30740;Q01469;P14780;P61160;P16284;P68871;P29508;Q9UJU6;P25787;Q9Y336;P01011;P11717;P80511;P07339;O75874;P11279;Q96P63;P14151;P31151;Q5D862;P01889;P01009;P08311;P31949;P04075;P05164;O15389;Q92820;P0DMV8;P06737;O00462;Q9UBW5;P17900;P00746;P04040;P02766;P61224;P02765;P61626;P55072;Q9NZK5;P01034;P61106;P06744;Q14019;Q9BTY2;P13798;Q12913;Q9NQR4;Q99436;Q9NX76;Q9NZT1;P18206;P11142;P01024;P02750;Q99439;P28066;Q10588;P14618;P05109;P32320;Q9Y251;P02788;P04264;P61769;P03973;P18669;O60234;Q9UBR2;P09960;P07384;P02775;P05089;P08238","","R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6800426;R-HSA-6798745"
R-HSA-8963889,"Assembly of active LPL and LIPC lipase complexes",2,30,0.0020629899601155273,0.03732139009544538,0.4822923819937253,1,12,8.878366380585972E-4,-1.0,9606,Homo sapiens,"P06727;P02655","","R-HSA-6784622"
R-HSA-373755,"Semaphorin interactions",8,70,0.004813643240269564,0.038046279331692905,0.4822923819937253,7,41,0.0030334418467002073,-1.0,9606,Homo sapiens,"P05556;P07900;O75326;P60660;P23528;P08238;P35579;Q9Y490","","R-HSA-399936;R-HSA-399950;R-HSA-434990;R-HSA-419644;R-HSA-419197;R-HSA-419645;R-HSA-434989"
R-HSA-352230,"Amino acid transport across the plasma membrane",1,68,0.004676110576261862,0.03886609687311265,0.4822923819937253,2,36,0.0026635099141757916,-1.0,9606,Homo sapiens,"Q15758","","R-HSA-352385;R-HSA-352379"
R-HSA-983231,"Factors involved in megakaryocyte development and platelet production",10,194,0.013340668408747078,0.04041777456521114,0.4822923819937253,8,43,0.0031814146197099735,-1.0,9606,Homo sapiens,"P02042;Q9H4B7;P52907;P60709;P68871;P69892;Q9NZN3;P69891;P60953;P47756","","R-HSA-1011598;R-HSA-1008220;R-HSA-983259;R-HSA-994169;R-HSA-1011576;R-HSA-994148;R-HSA-983266;R-HSA-879459"
R-HSA-2408522,"Selenoamino acid metabolism",12,180,0.012377939760693164,0.04087080260774798,0.4822923819937253,4,33,0.0024415507546611424,1.0,9606,Homo sapiens,"P84098;P15880;P23526;P00390;Q02543;P46782;P63220;P62987;P36578;P61247;P62851;P46779","","R-HSA-2408532;R-HSA-2408529;R-HSA-2408542;R-HSA-5333615"
R-HSA-445989,"TAK1 activates NFkB by phosphorylation and activation of IKKs complex",2,39,0.0026818869481501856,0.041505033523030824,0.4822923819937253,2,5,3.699319325244155E-4,1.0,9606,Homo sapiens,"P80511;P62987","","R-HSA-168166;R-HSA-168184"
R-HSA-168164,"Toll Like Receptor 3 (TLR3) Cascade",2,102,0.007014165864392794,0.041505033523030824,0.4822923819937253,14,61,0.004513169576797869,1.0,9606,Homo sapiens,"P80511;P62987","","R-HSA-168166;R-HSA-5684273;R-HSA-450337;R-HSA-5684250;R-HSA-450346;R-HSA-9628444;R-HSA-9013990;R-HSA-9014342;R-HSA-847070;R-HSA-450259;R-HSA-177690;R-HSA-168184;R-HSA-177692;R-HSA-9013974"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",2,94,0.006464035208361986,0.041505033523030824,0.4822923819937253,11,58,0.00429121041728322,1.0,9606,Homo sapiens,"P80511;P62987","","R-HSA-936942;R-HSA-936991;R-HSA-936986;R-HSA-937050;R-HSA-168166;R-HSA-5684273;R-HSA-450337;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-936960"
R-HSA-168176,"Toll Like Receptor 5 (TLR5) Cascade",2,94,0.006464035208361986,0.041505033523030824,0.4822923819937253,11,59,0.004365196803788103,1.0,9606,Homo sapiens,"P80511;P62987","","R-HSA-936942;R-HSA-936991;R-HSA-936986;R-HSA-937050;R-HSA-168166;R-HSA-5684273;R-HSA-450337;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-936960"
R-HSA-168142,"Toll Like Receptor 10 (TLR10) Cascade",2,94,0.006464035208361986,0.041505033523030824,0.4822923819937253,11,59,0.004365196803788103,1.0,9606,Homo sapiens,"P80511;P62987","","R-HSA-936942;R-HSA-936991;R-HSA-936986;R-HSA-937050;R-HSA-168166;R-HSA-5684273;R-HSA-450337;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-936960"
R-HSA-380284,"Loss of proteins required for interphase microtubule organization from the centrosome",3,71,0.004882409572273415,0.04170987896602712,0.4822923819937253,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"P07900;P61981;P62258","","R-HSA-380294;R-HSA-380272;R-HSA-380303"
R-HSA-380259,"Loss of Nlp from mitotic centrosomes",3,71,0.004882409572273415,0.04170987896602712,0.4822923819937253,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P07900;P61981;P62258","","R-HSA-380272;R-HSA-380303"
R-HSA-8854518,"AURKA Activation by TPX2",3,74,0.005088708568284968,0.04170987896602712,0.4822923819937253,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P07900;P61981;P62258","","R-HSA-8853405;R-HSA-8853419"
R-HSA-380270,"Recruitment of mitotic centrosome proteins and complexes",3,81,0.005570072892311924,0.04170987896602712,0.4822923819937253,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"P07900;P61981;P62258","","R-HSA-380311;R-HSA-380455;R-HSA-380283"
R-HSA-380287,"Centrosome maturation",3,83,0.005707605556319626,0.04170987896602712,0.4822923819937253,6,6,4.439183190292986E-4,-1.0,9606,Homo sapiens,"P07900;P61981;P62258","","R-HSA-380311;R-HSA-380455;R-HSA-380294;R-HSA-380272;R-HSA-380303;R-HSA-380283"
R-HSA-8964041,"LDL remodeling",3,8,5.501306560308073E-4,0.04274816688824449,0.4901789803185368,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P04114;P08519;P11597","","R-HSA-266350;R-HSA-176879"
R-HSA-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",7,72,0.004951175904277266,0.043797007315695746,0.4938293365038486,16,16,0.0011837821840781297,-1.0,9606,Homo sapiens,"P11142;P07900;P0DMV8;Q9H4B7;P52907;P08238;P47756","","R-HSA-5618099;R-HSA-5618098;R-HSA-9725885;R-HSA-5618110;R-HSA-5618105;R-HSA-5618073;R-HSA-3371422;R-HSA-5618107;R-HSA-5618085;R-HSA-9705925;R-HSA-5618080;R-HSA-3371590;R-HSA-9690534;R-HSA-5618093;R-HSA-3371503;R-HSA-9678925"
R-HSA-2161541,"Abacavir metabolism",1,27,0.0018566909641039746,0.044823993378919624,0.4938293365038486,1,7,5.179047055341817E-4,-1.0,9606,Homo sapiens,"P07327","","R-HSA-2162078"
R-HSA-2161522,"Abacavir transport and metabolism",1,33,0.0022692889561270802,0.044823993378919624,0.4938293365038486,1,10,7.39863865048831E-4,-1.0,9606,Homo sapiens,"P07327","","R-HSA-2162078"
R-HSA-425407,"SLC-mediated transmembrane transport",7,415,0.02853802778159813,0.04516338559521695,0.4938293365038486,9,191,0.014131399822432672,-1.0,9606,Homo sapiens,"P00450;P05090;P30626;Q15758;P02768;P31025;P02730","","R-HSA-194130;R-HSA-194083;R-HSA-904830;R-HSA-352385;R-HSA-425661;R-HSA-5229283;R-HSA-425482;R-HSA-194079;R-HSA-352379"
R-HSA-352238,"Breakdown of the nuclear lamina",2,3,2.0629899601155274E-4,0.045937612698032426,0.4938293365038486,2,3,2.219591595146493E-4,1.0,9606,Homo sapiens,"P20700;P02545","","R-HSA-264871;R-HSA-264865"
R-HSA-4419969,"Depolymerisation of the Nuclear Lamina",3,23,0.001581625636088571,0.045937612698032426,0.4938293365038486,2,6,4.439183190292986E-4,1.0,9606,Homo sapiens,"P20700;P02545","","R-HSA-5229194;R-HSA-5244669"
R-HSA-2980766,"Nuclear Envelope Breakdown",3,65,0.004469811580250309,0.045937612698032426,0.4938293365038486,3,13,9.618230245634804E-4,1.0,9606,Homo sapiens,"P20700;P02545","","R-HSA-5229194;R-HSA-2993898;R-HSA-5244669"
R-HSA-2995383,"Initiation of Nuclear Envelope (NE) Reformation",3,27,0.0018566909641039746,0.045937612698032426,0.4938293365038486,1,7,5.179047055341817E-4,1.0,9606,Homo sapiens,"P20700;P02545","","R-HSA-2995376"
R-HSA-1500931,"Cell-Cell communication",20,133,0.009145922156512172,0.04655777456179052,0.4966162619924322,30,60,0.004439183190292986,-1.0,9606,Homo sapiens,"Q15404;P05556;Q15149;P50552;Q9Y624;P60709;P12814;Q08722;P12830;Q13418;P35222;P62993;P15151;P33151;P48059;Q9BY67;Q14289;O15117;P55290;P21333","","R-HSA-5692437;R-HSA-391168;R-HSA-446083;R-HSA-432897;R-HSA-419981;R-HSA-432909;R-HSA-430347;R-HSA-451403;R-HSA-446089;R-HSA-446364;R-HSA-430311;R-HSA-430308;R-HSA-391151;R-HSA-391150;R-HSA-420586;R-HSA-391157;R-HSA-391156;R-HSA-446391;R-HSA-391158;R-HSA-391153;R-HSA-391152;R-HSA-420595;R-HSA-420592;R-HSA-420593;R-HSA-432956;R-HSA-433725;R-HSA-446077;R-HSA-419002;R-HSA-432952;R-HSA-419001"
R-HSA-373760,"L1CAM interactions",20,130,0.008939623160500619,0.047265606163901304,0.5002882621656015,33,54,0.003995264871263687,-1.0,9606,Homo sapiens,"P05556;P07942;P05106;P08514;Q12860;Q13740;P60709;O14594;P52735;P11047;O00533;P11277;P17301;P16157;P11142;Q9H4B7;P13591;P02549;Q92823;P26038","","R-HSA-443782;R-HSA-443780;R-HSA-376134;R-HSA-443778;R-HSA-443779;R-HSA-445071;R-HSA-549060;R-HSA-445067;R-HSA-445064;R-HSA-443784;R-HSA-374677;R-HSA-445076;R-HSA-445077;R-HSA-374675;R-HSA-445087;R-HSA-374686;R-HSA-445085;R-HSA-374681;R-HSA-374680;R-HSA-445083;R-HSA-374683;R-HSA-373733;R-HSA-373729;R-HSA-445091;R-HSA-445088;R-HSA-445089;R-HSA-373730;R-HSA-392751;R-HSA-373736;R-HSA-373739;R-HSA-447030;R-HSA-443774;R-HSA-447034"
R-HSA-9609507,"Protein localization",12,170,0.011690276440654656,0.049861508009050676,0.5133051031908327,29,53,0.0039212784847588045,1.0,9606,Homo sapiens,"Q9UKG9;Q99798;O75390;P25705;O75874;P62987;P04040;P00167;P21796;P10809;Q13011;P38646","","R-HSA-1299475;R-HSA-9033485;R-HSA-1299478;R-HSA-1299476;R-HSA-1299482;R-HSA-1299480;R-HSA-8986181;R-HSA-1299487;R-HSA-9033478;R-HSA-8953946;R-HSA-9033499;R-HSA-9609921;R-HSA-9609860;R-HSA-9610442;R-HSA-9033233;R-HSA-9033491;R-HSA-9033235;R-HSA-9033236;R-HSA-9033516;R-HSA-1268022;R-HSA-9033505;R-HSA-1268025;R-HSA-9033509;R-HSA-9609917;R-HSA-9033533;R-HSA-8953917;R-HSA-9609899;R-HSA-9033527;R-HSA-9033526"
R-HSA-73614,"Pyrimidine salvage",1,34,0.002338055288130931,0.05107086213503543,0.5133051031908327,1,10,7.39863865048831E-4,1.0,9606,Homo sapiens,"P32320","","R-HSA-73608"
R-HSA-5083635,"Defective B3GALTL causes Peters-plus syndrome (PpS)",3,39,0.0026818869481501856,0.05177806077347371,0.5133051031908327,1,1,7.39863865048831E-5,-1.0,9606,Homo sapiens,"P27918;Q9HCB6;P07996","","R-HSA-6785565"
R-HSA-5173214,"O-glycosylation of TSR domain-containing proteins",3,41,0.0028194196121578874,0.05177806077347371,0.5133051031908327,2,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P27918;Q9HCB6;P07996","","R-HSA-5173005;R-HSA-5173192"
R-HSA-446652,"Interleukin-1 family signaling",16,167,0.011483977444643103,0.05221276028803805,0.5133051031908327,24,80,0.005918910920390648,1.0,9606,Homo sapiens,"Q9H0E2;P80511;P28066;P28065;P28072;P28070;Q99436;Q9NPH3;P62987;P25789;P25788;P08311;P49721;P60900;P25787;P25786","","R-HSA-446694;R-HSA-448678;R-HSA-446692;R-HSA-209063;R-HSA-168166;R-HSA-209061;R-HSA-5684273;R-HSA-8948015;R-HSA-446862;R-HSA-446894;R-HSA-446701;R-HSA-446634;R-HSA-5684250;R-HSA-446868;R-HSA-450133;R-HSA-8948063;R-HSA-446684;R-HSA-168184;R-HSA-446877;R-HSA-451418;R-HSA-448603;R-HSA-8848314;R-HSA-445752;R-HSA-446648"
R-HSA-189085,"Digestion of dietary carbohydrate",3,28,0.0019254572961078255,0.05244442045189393,0.5133051031908327,2,13,9.618230245634804E-4,1.0,9606,Homo sapiens,"P04745","","R-HSA-188979;R-HSA-191114"
R-HSA-8935690,"Digestion",3,65,0.004469811580250309,0.05244442045189393,0.5133051031908327,2,24,0.0017756732761171944,1.0,9606,Homo sapiens,"P04745","","R-HSA-188979;R-HSA-191114"
R-HSA-8963743,"Digestion and absorption",3,73,0.0050199422362811165,0.05244442045189393,0.5133051031908327,2,30,0.002219591595146493,1.0,9606,Homo sapiens,"P04745","","R-HSA-188979;R-HSA-191114"
R-HSA-174577,"Activation of C3 and C5",7,7,4.813643240269564E-4,0.05246191725839206,0.5133051031908327,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"P0C0L5;P01031;P0C0L4;P27918;P06681;P00751;P01024","","R-HSA-173680;R-HSA-166817;R-HSA-173636"
R-HSA-168273,"Influenza Viral RNA Transcription and Replication",11,176,0.012102874432677761,0.05590606775943856,0.5133051031908327,3,14,0.0010358094110683633,1.0,9606,Homo sapiens,"P84098;P07900;P15880;Q02543;P46782;P63220;P62987;P36578;P61247;P62851;P46779","","R-HSA-192704;R-HSA-192841;R-HSA-192830"
R-HSA-9668250,"Defective factor IX causes hemophilia B",5,13,8.939623160500619E-4,0.0632257006119241,0.5133051031908327,4,4,2.959455460195324E-4,-1.0,9606,Homo sapiens,"P07359;P03951;P00742;P00740;P00451","","R-HSA-9673223;R-HSA-9670874;R-HSA-9670888;R-HSA-9673231"
R-HSA-9010553,"Regulation of expression of SLITs and ROBOs",23,183,0.012584238756704717,0.06429911702303095,0.5133051031908327,6,20,0.001479727730097662,1.0,9606,Homo sapiens,"P28066;P46782;P28065;P36578;P28072;Q9Y6N7;P28070;Q99436;P84098;P15880;Q02543;P63220;P62987;P25789;P15170;P25788;P61247;P49721;P60900;P62851;P25787;P46779;P25786","","R-HSA-9011083;R-HSA-9014652;R-HSA-9011313;R-HSA-8986083;R-HSA-9014610;R-HSA-9011300"
R-HSA-166665,"Terminal pathway of complement",8,8,5.501306560308073E-4,0.06465543302343885,0.5133051031908327,5,5,3.699319325244155E-4,-1.0,9606,Homo sapiens,"P13671;P01031;P02748;P07360;P10643;P07358;P10909;P07357","","R-HSA-173723;R-HSA-173720;R-HSA-173705;R-HSA-173725;R-HSA-173709"
R-HSA-163754,"Insulin effects increased synthesis of Xylulose-5-Phosphate",2,10,6.876633200385092E-4,0.06483864178454782,0.5133051031908327,3,3,2.219591595146493E-4,-1.0,9606,Homo sapiens,"P29401;P37837","","R-HSA-163751;R-HSA-163764;R-HSA-163741"
R-HSA-3000157,"Laminin interactions",8,31,0.0021317562921193784,0.0675828179103433,0.5133051031908327,13,15,0.0011097957975732466,-1.0,9606,Homo sapiens,"P24043;P05556;P07942;P17301;P39060;P98160;P11047;P14543","","R-HSA-4084507;R-HSA-2426530;R-HSA-4084505;R-HSA-3907292;R-HSA-216051;R-HSA-2426676;R-HSA-2328145;R-HSA-216048;R-HSA-2426450;R-HSA-2396083;R-HSA-2327803;R-HSA-216058;R-HSA-349626"
R-HSA-9672391,"Defective F8 cleavage by thrombin",3,4,2.7506532801540364E-4,0.06847452969262784,0.5133051031908327,1,1,7.39863865048831E-5,-1.0,9606,Homo sapiens,"P00734;P04275;P00451","","R-HSA-9666383"
R-HSA-1855183,"Synthesis of IP2, IP, and Ins in the cytosol",1,32,0.002200522624123229,0.07008887835789046,0.5133051031908327,3,14,0.0010358094110683633,1.0,9606,Homo sapiens,"O14732","","R-HSA-1855210;R-HSA-1855211;R-HSA-1855154"
R-HSA-9020702,"Interleukin-1 signaling",15,109,0.00749553018841975,0.07036710957579818,0.5133051031908327,21,47,0.0034773601657295057,1.0,9606,Homo sapiens,"Q9H0E2;P80511;P28066;P28065;P28072;P28070;Q99436;Q9NPH3;P62987;P25789;P25788;P49721;P60900;P25787;P25786","","R-HSA-446694;R-HSA-446692;R-HSA-209063;R-HSA-168166;R-HSA-209061;R-HSA-5684273;R-HSA-8948015;R-HSA-446862;R-HSA-446894;R-HSA-446701;R-HSA-446634;R-HSA-5684250;R-HSA-446868;R-HSA-450133;R-HSA-8948063;R-HSA-446684;R-HSA-168184;R-HSA-446877;R-HSA-451418;R-HSA-445752;R-HSA-446648"
R-HSA-446343,"Localization of the PINCH-ILK-PARVIN complex to focal adhesions",2,4,2.7506532801540364E-4,0.0714688508213968,0.5133051031908327,1,2,1.479727730097662E-4,-1.0,9606,Homo sapiens,"P05556;Q13418","","R-HSA-432897"
